District code,District name,State name,Population,Male,Female,Literate,Households_with_Internet,Housholds_with_Electric_Lighting,Latitude,Longitude,Sex Ratio,Literacy Rate
321,Kamrup,ASSAM,1517542,778461,739081,995319,3109,122191,26.170939452054807,91.58863273972592,949.4130084872588,65.58757517090137
314,Karbi Anglong,ASSAM,956313,490167,466146,557214,1923,53918,26.08966454598031,93.11536570271832,950.9942529790867,58.26690633715113
317,Karimganj,ASSAM,1228686,625864,602822,795297,1933,70951,24.69660712250711,92.3679498575498,963.1836948602253,64.72744053403392
300,Kokrajhar,ASSAM,887142,452905,434237,489305,1218,41373,26.497246635730868,90.13997470997688,958.7816429494044,55.15520626912039
307,Lakhimpur,ASSAM,1042137,529674,512463,683486,1948,60296,27.14128805970149,94.0775949253732,967.5064284824251,65.58504304136596
305,Nagaon,ASSAM,2823768,1439112,1384656,1710716,5121,195631,26.26462170626351,92.9306191144708,962.1599986658439,60.582739091880065
323,Nalbari,ASSAM,771639,396006,375633,531771,1631,68313,26.46323767605632,91.40598521126763,948.5538097907607,68.91447943921963
306,Sonitpur,ASSAM,1924110,983904,940206,1108572,4358,133368,26.73514926829268,92.85197804878044,955.5871304517514,57.614793333021495
309,Tinsukia,ASSAM,1327929,680231,647698,798322,5135,161718,27.53549291139241,95.69055949367085,952.173599850639,60.11782256430879
209,Araria,BIHAR,2811569,1463333,1348236,1195768,2561,43290,26.211528119180603,87.30766554934816,921.3459957507963,42.530274021373835
235,Aurangabad,BIHAR,2540073,1318684,1221389,1466002,2362,44456,24.774291867469877,84.45986024096379,926.218108356513,57.71495543632014
515,Aurangabad,MAHARASHTRA,3701282,1924469,1776813,2503837,23258,589477,24.774291867469877,84.45986024096379,923.2744201127687,67.64783121091557
225,Banka,BIHAR,2034763,1067140,967623,965321,1704,62359,24.832355642023337,86.8664916342413,906.7441947635737,47.44144649770023
222,Begusarai,BIHAR,2970541,1567660,1402881,1548673,4644,120373,25.54302613168723,86.12560144032932,894.888560019392,52.13437552284247
224,Bhagalpur,BIHAR,3037766,1615663,1422103,1573066,6764,174534,25.277192885375477,87.04213814229242,880.1977887715445,51.78364627163514
231,Bhojpur,BIHAR,2728407,1430380,1298027,1599151,3661,62153,25.50666439393939,84.49407803030304,907.4700429256561,58.61116028510409
232,Buxar,BIHAR,1706352,887977,818375,989807,1784,46760,25.48593018867924,84.08808081760995,921.6173391878393,58.00719898356259
215,Darbhanga,BIHAR,3937385,2059949,1877436,1816634,6280,127442,26.146187719298258,85.97387352472099,911.3992627972829,46.138084032930486
236,Gaya,BIHAR,4391418,2266566,2124852,2297613,6856,112617,24.7266541547278,84.94291217765044,937.4763408610206,52.32052608064184
217,Gopalganj,BIHAR,2562012,1267666,1294346,1382998,3707,69375,26.44874364161851,84.34636127167629,1021.0465532719186,53.98093373489273
238,Jamui,BIHAR,1760405,916064,844341,858588,1839,32633,24.78418380462726,86.26316298200514,921.7052520347924,48.77218594584769
239,Jehanabad,BIHAR,1125313,585582,539731,618881,1106,27641,25.155679045643165,84.9208124481328,921.7001205638151,54.99634323961422
212,Katihar,BIHAR,3071029,1600430,1470599,1280190,2941,60900,25.56565356037151,87.70466083591326,918.8774266915767,41.68602771253544
223,Khagaria,BIHAR,1666886,883786,783100,768028,1580,40641,25.53558891454964,86.56593256351037,886.0742306395439,46.07561644887533
210,Kishanganj,BIHAR,1690400,866970,823430,745056,1093,58718,26.324336758321294,87.95045007235886,949.7791157710186,44.07572172266919
227,Lakhisarai,BIHAR,1000912,526345,474567,507270,1186,44491,25.183449321266963,86.12825701357468,901.6272596870873,50.68077912943396
213,Madhepura,BIHAR,2001762,1047559,954203,834577,1397,23236,25.77341929460581,86.8978443983403,910.8823464835871,41.692119242946966
207,Madhubani,BIHAR,4487379,2329313,2158066,2155338,5319,113281,26.41380538172716,86.16328360450552,926.481756638116,48.03111125670464
226,Munger,BIHAR,1367765,729041,638724,801817,2653,90461,25.198537962962963,86.54173672839504,876.1153350771767,58.62242417374329
216,Muzaffarpur,BIHAR,4801062,2527497,2273565,2509232,10290,180651,26.18664417177915,85.32745092024543,899.5322249640652,52.264103233826184
229,Nalanda,BIHAR,2877653,1497060,1380593,1519933,4156,101378,25.229345508982053,85.48053113772461,922.2028509211387,52.818494794195125
237,Nawada,BIHAR,2219146,1144668,1074478,1091012,1841,31162,24.825708836206903,85.61594568965519,938.6809100979499,49.163597167559054
203,Pashchim Champaran,BIHAR,3935042,2061110,1873932,1759481,3495,57546,27.16064352201258,84.30265911949685,909.1858270543543,44.713144103671574
230,Patna,BIHAR,5838465,3078512,2759953,3459679,40692,546859,25.40297114503818,85.3198433587787,896.5217611625357,59.25665393215511
204,Purba Champaran,BIHAR,5099371,2681209,2418162,2276957,7719,74979,26.68129336734693,85.00382155612242,901.8923925736487,44.65172273207813
211,Purnia,BIHAR,3264619,1699370,1565249,1332326,4170,86058,25.81714801901739,87.40447606973065,921.0760458287482,40.81107167482637
234,Rohtas,BIHAR,2959918,1543546,1416372,1799832,4594,114893,24.99170460829495,83.9350762672811,917.609193376809,60.806819648382145
214,Saharsa,BIHAR,1900661,997174,903487,804996,1668,41342,25.821270696721303,86.54670819672135,906.0474902073258,42.35347597493714
221,Samastipur,BIHAR,4261566,2230003,2031563,2142880,5379,88021,25.793205563909765,85.94833323308269,911.0135726274807,50.28386278659066
219,Saran,BIHAR,3951862,2022821,1929041,2157454,4509,94787,25.89656077844312,84.82266287425155,953.6390021657872,54.59335371528662
228,Sheikhpura,BIHAR,636342,329743,306599,328676,631,20065,25.12472436548223,85.77839390862943,929.8120051070076,51.65084184290837
205,Sheohar,BIHAR,656246,346673,309573,283698,478,10004,26.458380748663107,85.29539411764709,892.9827243540743,43.23043492836528
206,Sitamarhi,BIHAR,3423574,1803252,1620322,1436794,3460,66263,26.56570069686413,85.61172491289203,898.5554986213796,41.96766303284229
218,Siwan,BIHAR,3330464,1675090,1655374,1930175,3834,52935,26.1736372013652,84.33766552901022,988.2298861553708,57.95513778260326
208,Supaul,BIHAR,2229076,1155283,1073793,1033283,1845,51028,26.28157893772896,86.78496465201461,929.4631704958871,46.35476762568885
220,Vaishali,BIHAR,3495021,1844535,1650486,1926740,4810,70001,25.8134703180212,85.39247597173153,894.7978758874187,55.12813799974307
55,Chandigarh,CHANDIGARH,1055450,580663,474787,805438,44283,231204,30.7426,76.75872465753424,817.6636017793454,76.31228385996495
414,Bastar,CHHATTISGARH,1413199,698487,714712,650863,1782,157646,19.393866751269048,81.52895126903546,1023.2287787746945,46.05600485140451
30,Bilaspur,HIMACHAL PRADESH,381956,192764,189192,287620,1574,79146,22.356942982456143,81.99770350877188,981.469569006661,75.3018672307805
406,Bilaspur,CHHATTISGARH,2663629,1351574,1312055,1596560,8566,519704,22.356942982456143,81.99770350877188,970.7607574576012,59.939278330428145
412,Dhamtari,CHHATTISGARH,799781,397897,401884,546833,1016,148926,20.554912627291245,81.7569195519348,1010.0201811021445,68.37284206551544
409,Durg,CHHATTISGARH,3343872,1682101,1661771,2303378,16141,614109,21.194463849287164,81.33181639511197,987.9139243125115,68.88355774383709
402,Jashpur,CHHATTISGARH,851669,424747,426922,495415,567,76783,22.77286167664669,83.8703962075848,1005.1206953786607,58.16989933882765
404,Korba,CHHATTISGARH,1206640,612915,593725,748759,4544,202380,22.491712499999995,82.57604326923074,968.6906014700244,62.05322217065571
400,Koriya,CHHATTISGARH,658917,334737,324180,397823,1667,80023,23.50412776859501,82.12515636363635,968.4618073293361,60.375282471085136
411,Mahasamund,CHHATTISGARH,1032754,511967,520787,637963,961,212487,21.223727037773354,82.65925427435384,1017.2276728773535,61.772987565286606
403,Raigarh,CHHATTISGARH,1493984,750278,743706,951639,3342,297308,22.008265068493166,83.27797698630134,991.240580158288,63.6980717330306
520,Raigarh,MAHARASHTRA,2634200,1344345,1289855,1939994,38570,547206,22.008265068493166,83.27797698630134,959.4672498502988,73.64642016551515
410,Raipur,CHHATTISGARH,4063872,2048186,2015686,2629749,20261,728556,20.88603153846152,82.20032759615388,984.1323004844287,64.71042887177549
